,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
18,Data Analyst,Finan,"Quận Bình Thạnh, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,6 months ago,9 days ago,"MySQL, Problem Solving, Teamwork, Business Objectives, Python, Database Design, Good Communication Skills, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analyst/b7eab500-102f-40c0-8ec0-647e54f822af
19,Data Analyst,Kiến Guru,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,9 months ago,1 month ago,"Sql, Data Driven, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analyst/e6cb4c04-c618-489b-8001-579d922f1b72
20,Data Engineer,PMAX,"Quận 1, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,yesterday,yesterday,"JavaScript, Data Mart, Data Warehouse, Postgres, Python Program Language, Amazon Web Services (AWS), Java Programming, Scala",https://glints.com/vn/opportunities/jobs/data-engineer/1f10763c-50cb-44ed-919a-aa8a684908e8
21,Data Scientist,Home Credit Viet Nam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,5 days ago,2 days ago,"Data Science, Model Validation Senior Specialist, Database Administration, Data Analysis, Risk Management",https://glints.com/vn/opportunities/jobs/data-scientist/8c8a562b-13fc-4d82-af33-5c45d73c3040
22,Data Engineer,Fetch Technology,"Da Nang, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,9 hours ago,9 hours ago,"Nosql, Computer Science, Powerbi",https://glints.com/vn/opportunities/jobs/data-engineer/72c2e5a7-db88-41b6-b14b-01e5dc0fa738
23,Data Engineer,Fetch Technology,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,10 hours ago,10 hours ago,"Nosql, Computer Science, Powerbi",https://glints.com/vn/opportunities/jobs/data-engineer/19496825-ecd5-44c7-a6e3-887286b5c667
24,Data Engineer,Fetch Technology,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,10 hours ago,10 hours ago,"Nosql, Computer Science, Powerbi",https://glints.com/vn/opportunities/jobs/data-engineer/bf25596d-9d84-4d9a-85d6-3026468c78e7
25,Data Engineer ,Topica Edtech Group,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,20 days ago,20 days ago,"JavaScript, MySQL, Big Data, Cloud Infrastructure, Python, Scala",https://glints.com/vn/opportunities/jobs/data-engineer/0ac95063-a1e0-4e69-a56f-6d9042860a09
26,Data Engineer,Buymed,"Quận 1, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,27 days ago,22 days ago,"SQL, Python, Restful Api",https://glints.com/vn/opportunities/jobs/data-engineer/7855b125-7c07-4f7b-9806-3b6c2805c421
27,Data Engineer,Finan,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,21 days ago,19 days ago,"MySQL, Data Visualization, Python",https://glints.com/vn/opportunities/jobs/data-engineer/f48ae943-e27e-4819-b6d5-8e666aa06de5
